date,active,engagementRate,wauPerMau,engagedSessions
2025-12-27,533,0.125,0.33907056798623064,6
2025-12-28,559,0.32432432432432434,0.35677530017152659,12
2025-12-29,576,0.19047619047619047,0.375,8
2025-12-30,584,0.11904761904761904,0.38211382113821141,5
2025-12-31,597,0.20512820512820512,0.38412698412698415,8
2026-01-01,613,0.17948717948717949,0.39502332814930013,7
2026-01-02,616,0.1111111111111111,0.32515337423312884,3
2026-01-03,615,0.17391304347826086,0.29032258064516131,4
2026-01-04,628,0.17647058823529413,0.28267477203647418,6
2026-01-05,641,0.23529411764705882,0.27868852459016391,8
2026-01-06,649,0.1,0.27086383601756953,3
2026-01-07,663,0.20689655172413793,0.26445086705202314,6
2026-01-08,665,0.14814814814814814,0.24820659971305595,4
2026-01-09,671,0.10714285714285714,0.2397163120567376,3
2026-01-10,672,0.08,0.24787535410764872,2
2026-01-11,669,0.095238095238095233,0.23380281690140844,2
2026-01-12,673,0.18518518518518517,0.22081575246132207,5
2026-01-13,676,0.18181818181818182,0.21378340365682139,4
2026-01-14,681,0.1,0.20393811533052039,2
2026-01-15,681,0.13636363636363635,0.19662921348314608,3
2026-01-16,682,0.35,0.19134078212290503,7
2026-01-17,681,0.33333333333333331,0.18347338935574228,6
2026-01-18,676,0.33333333333333331,0.1797752808988764,5
2026-01-19,681,0.2857142857142857,0.17482517482517482,8
2026-01-20,676,0.22222222222222221,0.16147308781869688,4
2026-01-21,675,0.16666666666666666,0.16338028169014085,4
2026-01-22,665,0.21428571428571427,0.15340909090909091,3
2026-01-23,614,0.11764705882352941,0.14921090387374461,2
2026-01-24,591,0.125,0.14862914862914864,2
2026-01-25,572,0.15384615384615385,0.15625,2
2026-01-26,557,0.125,0.15235008103727715,2
2026-01-27,551,0.125,0.17241379310344829,3
2026-01-28,540,0.1,0.17281879194630873,2
2026-01-29,520,0.125,0.18416523235800344,2
2026-01-30,510,0.11764705882352941,0.18904593639575973,2
2026-01-31,512,0.33333333333333331,0.19963702359346641,7
2026-02-01,511,0.22580645161290322,0.22463768115942029,7
2026-02-02,509,0.066666666666666666,0.24290780141843971,2
2026-02-03,519,0.16666666666666666,0.26434782608695651,7
2026-02-04,509,0.36842105263157893,0.26785714285714285,7
2026-02-05,512,0.10344827586206896,0.28928571428571431,3
2026-02-06,506,0.1111111111111111,0.2987249544626594,2
2026-02-07,498,0.33333333333333331,0.29814814814814816,6
2026-02-08,498,0.24,0.28677839851024206,6
2026-02-09,493,0.16,0.27016885553470921,4
2026-02-10,489,0.4,0.23496240601503759,10
2026-02-11,482,0.071428571428571425,0.2326923076923077,1
2026-02-12,479,0.23529411764705882,0.21206225680933852,4
2026-02-13,476,0.22222222222222221,0.21176470588235294,4
2026-02-14,476,0.29411764705882354,0.21611001964636542,5
2026-02-15,476,0.058823529411764705,0.21146245059288538,1
2026-02-16,472,0.30434782608695654,0.21104536489151873,7
2026-02-17,478,0.22727272727272727,0.20784313725490197,5
2026-02-18,477,0.095238095238095233,0.22287968441814596,2
2026-02-19,503,0.085714285714285715,0.25094339622641509,3
2026-02-20,503,0.15384615384615385,0.25190839694656486,2
2026-02-21,503,0.066666666666666666,0.24528301886792453,1
2026-02-22,504,0.066666666666666666,0.24007561436672967,1
2026-02-23,514,0.26923076923076922,0.24629629629629629,7
2026-02-24,511,0,0.24358974358974358,0
2026-02-25,501,0.125,0.22676579925650558,1
2026-02-26,505,0.1111111111111111,0.19626168224299065,2
2026-02-27,529,0,0.23104693140794225,0
2026-02-28,522,0.2,0.22826086956521738,3
2026-03-01,512,0.2,0.23104693140794225,3
2026-03-02,498,0.23529411764705882,0.21454545454545454,4
2026-03-03,479,0.27272727272727271,0.21731123388581952,6
2026-03-04,480,0.23529411764705882,0.2391713747645951,4
2026-03-05,465,0.076923076923076927,0.2391304347826087,1
2026-03-06,464,0.2,0.19603960396039605,3
2026-03-07,471,0.2608695652173913,0.216,6
2026-03-08,472,0.4,0.22465208747514911,10
2026-03-09,473,0.25925925925925924,0.23575638506876229,7
2026-03-10,475,0.30769230769230771,0.23874755381604695,8
2026-03-11,480,0.36363636363636365,0.24212598425196849,8
2026-03-12,477,0.29411764705882354,0.24302788844621515,5
2026-03-13,476,0.1111111111111111,0.24007936507936509,2
2026-03-14,480,0.11538461538461539,0.23529411764705882,3
2026-03-15,481,0.13636363636363635,0.22896281800391388,3
2026-03-16,472,0.071428571428571425,0.21188118811881188,1
2026-03-17,467,0.083333333333333329,0.19681908548707752,1
2026-03-18,466,0.16666666666666666,0.19960079840319361,3
2026-03-19,444,0.25,0.20362903225806453,4
2026-03-20,444,0.2857142857142857,0.20570264765784113,4
2026-03-21,442,0.33333333333333331,0.19658119658119658,5
