code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
road_eqs_carmot,Transport > Database by themes,"Passenger cars, by type of motor energy and size of engine",2026-03-12,2025-07-29,1970,2024,7058
road_eqs_carpda,Transport > Database by themes,"Passenger cars, by type of motor energy",2026-03-12,2025-09-09,2013,2024,6429
road_eqs_carhab,Transport > Database by themes,Passenger cars - per thousand inhabitants,2026-02-20,2025-07-29,1990,2024,1249
road_eqs_unlweig,Transport > Database by themes,Passenger cars by unloaded weight,2026-02-20,2025-07-29,1996,2024,2458
road_eqs_busveh,Transport > Database by themes,"Motor coaches, buses and trolley buses, by type of vehicle",2026-02-20,2025-07-29,1970,2024,2178
road_eqs_busage,Transport > Database by themes,"Motor coaches, buses and trolley buses by age",2026-02-20,2025-07-29,1970,2024,5302
road_eqs_busmot,Transport > Database by themes,"Motor coaches, buses and trolley buses, by type of motor energy",2026-03-13,2025-09-09,2013,2024,4814
road_eqs_bussea,Transport > Database by themes,"Seats /berths in motor coaches, buses and trolley buses",2025-12-12,2025-07-29,1990,2024,562
road_eqs_trams,Transport > Database by themes,Trams,2026-03-12,2025-07-29,1970,2024,557
road_eqs_lorroa,Transport > Database by themes,Lorries and road tractors by age and type of vehicle,2026-02-20,2025-07-29,2000,2024,6430
road_eqs_lormot,Transport > Database by themes,"Lorries, by type of motor energy",2026-02-20,2025-07-29,2013,2024,9531
road_eqs_lorton,Transport > Database by themes,Lorries and their load capacity by permissible maximum gross weight,2026-02-20,2025-07-29,2012,2024,3517
road_eqs_spurp,Transport > Database by themes,Special purpose road vehicles,2026-02-20,2025-07-29,2008,2024,525
road_eqs_roaene,Transport > Database by themes,Road tractors by type of motor energy,2026-02-20,2025-07-29,2000,2024,4207
road_eqs_semit,Transport > Database by themes,"Semi-trailers and their load capacity, by permissible maximum gross weight",2026-02-20,2025-07-29,2000,2024,2120
road_eqs_trail,Transport > Database by themes,"Trailers and their load capacity, by permissible maximum gross weight",2026-02-20,2025-07-29,2000,2024,2459
tran_r_vehst,Transport > Database by themes,Stock of vehicles by category and NUTS 2 region,2026-03-04,2026-03-17,1990,2024,139920
road_eqs_zev,Transport > Database by themes,Stock of zero-emission vehicles at 31st December by type of vehicle and type of motor energy,2026-02-20,2025-07-29,2013,2024,10270
road_eqr_mopeds,Transport > Database by themes,New mopeds and motorcycles by type of motor energy,2025-12-12,2025-07-29,2012,2024,1997
road_eqr_motors,Transport > Database by themes,New motorcycles by engine size,2025-12-12,2025-07-29,1970,2024,1901
road_eqr_carmot,Transport > Database by themes,New passenger cars by type of motor energy and engine size,2026-03-12,2025-07-29,1970,2024,6406
road_eqr_carpda,Transport > Database by themes,New passenger cars by type of motor energy,2026-03-12,2025-07-29,2013,2024,6257
road_eqr_unlweig,Transport > Database by themes,New passenger cars by unloaded weight,2025-12-12,2025-07-29,1970,2024,3163
road_eqr_busveh,Transport > Database by themes,"New motor coaches, buses and trolley buses , by type of vehicles",2025-12-12,2025-07-29,1979,2024,1940
