strike,forward,maturity,moneyness,moneyness_ttm,ttm,implied_vol,price,price_bp,forward_price,type,side,open_interest,volume
64000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.09394205685077059,-0.7721660480418882,0.014801261303773572,0.6165229206916628,0.0036,36.0,253.0935,put,bid,1102.0,14888.31
64000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.09394205685077059,-0.7721660480418882,0.014801261303773572,0.6350316043825954,0.004,40.0,281.215,put,ask,1102.0,14888.31
65000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.07843787031480534,-0.6447278499981933,0.014801261303773572,0.5976454826499155,0.005,50.0,351.51875,put,bid,3655.3,13544.5
65000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.07843787031480534,-0.6447278499981933,0.014801261303773572,0.6164906824193985,0.0055,55.0,386.670625,put,ask,3655.3,13544.5
66000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.06317039818401692,-0.5192353494715364,0.014801261303773572,0.5664033957423802,0.0065,65.0,456.974375,put,bid,1478.6,10905.65
66000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.06317039818401692,-0.5192353494715364,0.014801261303773572,0.5980785233428391,0.0075,75.0,527.278125,put,ask,1478.6,10905.65
67000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.04813252081947641,-0.3956300258840259,0.014801261303773572,0.549217042321887,0.009,90.0,632.73375,put,bid,951.0,15320.54
67000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.04813252081947641,-0.3956300258840259,0.014801261303773572,0.5762584091080056,0.01,100.0,703.0375,put,ask,951.0,15320.54
68000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.03331743503433577,-0.27385595976701643,0.014801261303773572,0.5367883765816708,0.0125,125.0,878.796875,put,bid,2387.2,218294.57
68000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.03331743503433577,-0.27385595976701643,0.014801261303773572,0.5605316115098864,0.0135,135.0,949.100625,put,ask,2387.2,218294.57
69000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.018718635613183092,-0.15385968085761761,0.014801261303773572,0.5240411629547255,0.017,170.0,1195.16375,put,bid,681.4,19595.55
69000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.018718635613183092,-0.15385968085761761,0.014801261303773572,0.545728673173614,0.018,180.0,1265.4675,put,ask,681.4,19595.55
70000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.004329898161083491,-0.03559002712468556,0.014801261303773572,0.5183766044124103,0.023,230.0,1616.98625,put,bid,3885.0,636148.17
70000.0,70303.75,2026-03-27T08:00:00.000+00:00,-0.004329898161083491,-0.03559002712468556,0.014801261303773572,0.5390822946511322,0.024,240.0,1687.29,put,ask,3885.0,636148.17
71000.0,70303.75,2026-03-27T08:00:00.000+00:00,0.009854736830872826,0.08100198620598428,0.014801261303773572,0.5155475717650942,0.0205,205.0,1441.226875,call,bid,1207.1,117801.45
71000.0,70303.75,2026-03-27T08:00:00.000+00:00,0.009854736830872826,0.08100198620598428,0.014801261303773572,0.536305115637106,0.0215,215.0,1511.530625,call,ask,1207.1,117801.45
72000.0,70303.75,2026-03-27T08:00:00.000+00:00,0.02384097880561293,0.19596328846646432,0.014801261303773572,0.5031971572322678,0.0145,145.0,1019.404375,call,bid,2166.5,359676.99
72000.0,70303.75,2026-03-27T08:00:00.000+00:00,0.02384097880561293,0.19596328846646432,0.014801261303773572,0.5251017026853727,0.0155,155.0,1089.708125,call,ask,2166.5,359676.99
