strike,forward,maturity,moneyness,moneyness_ttm,ttm,implied_vol,price,price_bp,forward_price,type,side,open_interest,volume
1900.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.12506638904749154,-1.0279958656580772,0.01480125312536984,0.8053045787159188,0.0044,44.0,9.47375,put,bid,15509.0,8277.52
1950.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.09909090264423089,-0.8144877214286175,0.01480125312536984,0.7646319486446526,0.0065,65.0,13.9953125,put,bid,6957.0,310.29
1950.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.09909090264423089,-0.8144877214286175,0.01480125312536984,0.7834838557399972,0.007,70.0,15.071875,put,ask,6957.0,310.29
2000.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.073773094659941,-0.6063854316480117,0.01480125312536984,0.7378576884918951,0.01,100.0,21.53125,put,bid,20542.0,1613.77
2000.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.073773094659941,-0.6063854316480117,0.01480125312536984,0.7674653605666977,0.011,110.0,23.684375,put,ask,20542.0,1613.77
2050.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.0490804820695695,-0.40342199879828383,0.01480125312536984,0.7234086633599405,0.0155,155.0,33.3734375,put,bid,3166.0,213.16
2050.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.0490804820695695,-0.40342199879828383,0.01480125312536984,0.7479752575975783,0.0165,165.0,35.5265625,put,ask,3166.0,213.16
2100.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.024982930490508995,-0.2053497302661708,0.01480125312536984,0.7078212544318381,0.023,230.0,49.521875,put,bid,8717.0,1755.44
2100.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.024982930490508995,-0.2053497302661708,0.01480125312536984,0.7187041454579591,0.0235,235.0,50.5984375,put,ask,8717.0,1755.44
2150.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.0014524330803148745,-0.011938420970495462,0.01480125312536984,0.6954764002783195,0.033,330.0,71.053125,put,bid,4963.0,3341.36
2150.0,2153.125,2026-03-27T08:00:00.000+00:00,-0.0014524330803148745,-0.011938420970495462,0.01480125312536984,0.7161168198905699,0.034,340.0,73.20625,put,ask,4963.0,3341.36
2200.0,2153.125,2026-03-27T08:00:00.000+00:00,0.02153708514438376,0.1770262550583854,0.01480125312536984,0.6886119900627253,0.024,240.0,51.675,call,bid,28145.0,5860.13
2200.0,2153.125,2026-03-27T08:00:00.000+00:00,0.02153708514438376,0.1770262550583854,0.01480125312536984,0.7096779693483349,0.025,250.0,53.828125,call,ask,28145.0,5860.13
2250.0,2153.125,2026-03-27T08:00:00.000+00:00,0.04400994099644247,0.36174417232929773,0.01480125312536984,0.6822924764448219,0.016,160.0,34.45,call,bid,8361.0,9147.05
2250.0,2153.125,2026-03-27T08:00:00.000+00:00,0.04400994099644247,0.36174417232929773,0.01480125312536984,0.7054030054111581,0.017,170.0,36.603125,call,ask,8361.0,9147.05
2300.0,2153.125,2026-03-27T08:00:00.000+00:00,0.06598884771521761,0.5424020246160993,0.01480125312536984,0.6850437353741368,0.0105,105.0,22.6078125,call,bid,20252.0,5041.22
2300.0,2153.125,2026-03-27T08:00:00.000+00:00,0.06598884771521761,0.5424020246160993,0.01480125312536984,0.7120191612904544,0.0115,115.0,24.7609375,call,ask,20252.0,5041.22
2350.0,2153.125,2026-03-27T08:00:00.000+00:00,0.0874950529361813,0.719174459012919,0.01480125312536984,0.6989990306452435,0.007,70.0,15.071875,call,bid,10930.0,6781.55
2350.0,2153.125,2026-03-27T08:00:00.000+00:00,0.0874950529361813,0.719174459012919,0.01480125312536984,0.7155509733536707,0.0075,75.0,16.1484375,call,ask,10930.0,6781.55
2400.0,2153.125,2026-03-27T08:00:00.000+00:00,0.10854846213401355,0.8922250905871691,0.01480125312536984,0.7165480129765522,0.0047,47.0,10.1196875,call,bid,30816.0,23906.24
2400.0,2153.125,2026-03-27T08:00:00.000+00:00,0.10854846213401355,0.8922250905871691,0.01480125312536984,0.7493390669027742,0.0055,55.0,11.8421875,call,ask,30816.0,23906.24
2450.0,2153.125,2026-03-27T08:00:00.000+00:00,0.12916774933674932,1.0617074124057027,0.01480125312536984,0.7422559165791272,0.0033,33.0,7.1053125,call,bid,6342.0,270.29
2450.0,2153.125,2026-03-27T08:00:00.000+00:00,0.12916774933674932,1.0617074124057027,0.01480125312536984,0.7528577274969606,0.0035,35.0,7.5359375,call,ask,6342.0,270.29
2500.0,2153.125,2026-03-27T08:00:00.000+00:00,0.14937045665426868,1.2277656136193293,0.01480125312536984,0.7648530735135569,0.0023,23.0,4.9521875,call,bid,29754.0,328.89
2500.0,2153.125,2026-03-27T08:00:00.000+00:00,0.14937045665426868,1.2277656136193293,0.01480125312536984,0.7850000184638266,0.0026,26.0,5.598125,call,ask,29754.0,328.89
2550.0,2153.125,2026-03-27T08:00:00.000+00:00,0.1691730839504485,1.3905353165321597,0.01480125312536984,0.7856713808616971,0.0016,16.0,3.445,call,bid,3448.0,8.17
1900.0,2153.75,2026-04-03T08:00:00.000+00:00,-0.12535662268760758,-0.6800484317136039,0.03397933531709896,0.785201781869387,0.0145,145.0,31.229375,put,bid,1210.0,702.6
1900.0,2153.75,2026-04-03T08:00:00.000+00:00,-0.12535662268760758,-0.6800484317136039,0.03397933531709896,0.8061197453350247,0.0155,155.0,33.383125,put,ask,1210.0,702.6
1950.0,2153.75,2026-04-03T08:00:00.000+00:00,-0.09938113628434687,-0.5391337483661099,0.03397933531709896,0.7651635885110104,0.019,190.0,40.92125,put,bid,1062.0,172.24
1950.0,2153.75,2026-04-03T08:00:00.000+00:00,-0.09938113628434687,-0.5391337483661099,0.03397933531709896,0.7743185296390249,0.0195,195.0,41.998125,put,ask,1062.0,172.24
2000.0,2153.75,2026-04-03T08:00:00.000+00:00,-0.07406332830005707,-0.40178691143792833,0.03397933531709896,0.7519234927527809,0.025,250.0,53.84375,put,bid,1143.0,688.43
