maturity,ttm,forward,basis,rate_percent,open_interest,volume
2026-03-27T08:00:00.000+00:00,0.014801261303773572,70303.75,11.00,1.14228,485232850,10342430.0
2026-04-03T08:00:00.000+00:00,0.03397934349550269,70333.75,41.00,1.77361,1575750,1800250.0
2026-04-24T08:00:00.000+00:00,0.09151359007091742,70426.25,133.50,2.09864,65148250,1651610.0
2026-06-26T08:00:00.000+00:00,0.2641163297969342,70733.75,441.00,2.37789,496069250,4785790.0
2026-09-25T08:00:00.000+00:00,0.5134313982900949,71325.0,1032.25,2.84548,244818700,2004880.0
2026-12-25T08:00:00.000+00:00,0.7627464667832555,72086.25,1793.50,3.30793,103010980,1864190.0
