maturity,ttm,forward,basis,rate_percent,open_interest,volume
2026-03-27T08:00:00.000+00:00,0.01480125312536984,2153.125,1.400,4.74813,112598595,2676020.0
2026-04-03T08:00:00.000+00:00,0.03397933531709896,2153.75,2.025,2.86118,2877942,905290.0
2026-04-24T08:00:00.000+00:00,0.09151358189251368,2156.75,5.025,2.58001,24301872,947066.0
2026-06-26T08:00:00.000+00:00,0.2641163216185305,2168.125,16.400,2.88688,88427687,2547570.0
2026-09-25T08:00:00.000+00:00,0.5134313901116911,2186.375,34.650,3.11813,34823972,971286.0
2026-12-25T08:00:00.000+00:00,0.7627464586048518,2210.25,58.525,3.52340,23106032,881420.0
